Schedule Codes,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+3hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor,Checked?
JC JunCC<>J1 2026<>JC - Math<>Hui Xuan<>Wednesday<>Bukit Panjang<>BP-3<>19<>3 Jun<>1:00 pm<>Functions,JC JunCC,J1 2026,JC - Math,Hui Xuan,Wednesday,Bukit Panjang,BP-3,19,03 Jun (Wed),1:00:00 PM,J1 Math,Functions,6/3/2026,01:30PM - 04:30PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,1 Woodlands Road #01-10 (Junction10) S677899  (Video Guide: bit.ly/zenithBP),Math,Open - Running,[J1 Math] Bukit Panjang | 03 Jun (Wed) | 01:30PM - 04:30PM | Functions,J1 Math - Bukit Panjang - 03 Jun Wed 1:00PM,[J1 Math] Bukit Panjang | 03 Jun (Wed) | 01:30PM - 04:30PM | Functions,0,,0,0,0 / 19,,0 |  | 19,0.00%,J1,JC,MATH,MATH,MATH,Bukit Panjang,Hui Xuan,FALSE
JC JunCC<>J1 2026<>JC - Chem<>DJ<>Friday<>Bukit Panjang<>BP-3<>19<>5 Jun<>1:00 pm<>Chem Bonding,JC JunCC,J1 2026,JC - Chem,DJ,Friday,Bukit Panjang,BP-3,19,05 Jun (Fri),1:00:00 PM,J1 Chemistry,Chem Bonding,6/5/2026,01:30PM - 04:30PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,1 Woodlands Road #01-10 (Junction10) S677899  (Video Guide: bit.ly/zenithBP),Chemistry,Open - Running,[J1 Chemistry] Bukit Panjang | 05 Jun (Fri) | 01:30PM - 04:30PM | Chem Bonding,J1 Chemistry - Bukit Panjang - 05 Jun Fri 1:00PM,[J1 Chemistry] Bukit Panjang | 05 Jun (Fri) | 01:30PM - 04:30PM | Chem Bonding,0,,0,0,0 / 19,,0 |  | 19,0.00%,J1,JC,CHEM,CHEM,CHEM,Bukit Panjang,DJ,FALSE
JC JunCC<>J1 2026<>JC - Math<>Hui Xuan<>Sunday<>Bukit Panjang<>BP-3<>19<>7 Jun<>10:00 am<>Vectors 1,JC JunCC,J1 2026,JC - Math,Hui Xuan,Sunday,Bukit Panjang,BP-3,19,07 Jun (Sun),10:00:00 AM,J1 Math,Vectors 1,6/7/2026,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,1 Woodlands Road #01-10 (Junction10) S677899  (Video Guide: bit.ly/zenithBP),Math,Open - Running,[J1 Math] Bukit Panjang | 07 Jun (Sun) | 10:00AM - 01:00PM | Vectors 1,J1 Math - Bukit Panjang - 07 Jun Sun 10:00AM,[J1 Math] Bukit Panjang | 07 Jun (Sun) | 10:00AM - 01:00PM | Vectors 1,0,,0,0,0 / 19,,0 |  | 19,0.00%,J1,JC,MATH,MATH,MATH,Bukit Panjang,Hui Xuan,FALSE
"JC JunCC<>J1 2026<>JC - Econs<>Eunice<>Tuesday<>Jurong East<>JE-1<>30<>2 Jun<>10:00 am<>Market Model: Demand, Supply and Elasticities",JC JunCC,J1 2026,JC - Econs,Eunice,Tuesday,Jurong East,JE-1,30,02 Jun (Tue),10:00:00 AM,J1 Economics,"Market Model: Demand, Supply and Elasticities",6/2/2026,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Economics,Open - Running,"[J1 Economics] Jurong East | 02 Jun (Tue) | 10:00AM - 01:00PM | Market Model: Demand, Supply and Elasticities",J1 Economics - Jurong East - 02 Jun Tue 10:00AM,"[J1 Economics] Jurong East | 02 Jun (Tue) | 10:00AM - 01:00PM | Market Model: Demand, Supply and Elasticities",0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,ECON,ECON,ECON,Jurong East,Eunice,FALSE
JC JunCC<>J1 2026<>JC - Bio<>Josh<>Friday<>Jurong East<>JE-1<>30<>5 Jun<>10:00 am<>DNA Replication,JC JunCC,J1 2026,JC - Bio,Josh,Friday,Jurong East,JE-1,30,05 Jun (Fri),10:00:00 AM,J1 Biology,DNA Replication,6/5/2026,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Biology,Open - Running,[J1 Biology] Jurong East | 05 Jun (Fri) | 10:00AM - 01:00PM | DNA Replication,J1 Biology - Jurong East - 05 Jun Fri 10:00AM,[J1 Biology] Jurong East | 05 Jun (Fri) | 10:00AM - 01:00PM | DNA Replication,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,BIO,BIO,BIO,Jurong East,Josh,FALSE
"JC JunCC<>J1 2026<>JC - Econs<>Eunice<>Monday<>Jurong East<>JE-2<>27<>1 Jun<>1:00 pm<>Market Model: Demand, Supply and Elasticities",JC JunCC,J1 2026,JC - Econs,Eunice,Monday,Jurong East,JE-2,27,01 Jun (Mon),1:00:00 PM,J1 Economics,"Market Model: Demand, Supply and Elasticities",6/1/2026,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Economics,Open - Running,"[J1 Economics] Jurong East | 01 Jun (Mon) | 01:30PM - 04:30PM | Market Model: Demand, Supply and Elasticities",J1 Economics - Jurong East - 01 Jun Mon 1:00PM,"[J1 Economics] Jurong East | 01 Jun (Mon) | 01:30PM - 04:30PM | Market Model: Demand, Supply and Elasticities",0,,0,0,0 / 27,,0 |  | 27,0.00%,J1,JC,ECON,ECON,ECON,Jurong East,Eunice,FALSE
JC JunCC<>J1 2026<>JC - Phy<>Enzhao<>Tuesday<>Jurong East<>JE-2<>27<>2 Jun<>10:00 am<>Motion & Forces (Part 2) + Collision,JC JunCC,J1 2026,JC - Phy,Enzhao,Tuesday,Jurong East,JE-2,27,02 Jun (Tue),10:00:00 AM,J1 Physics,Motion & Forces (Part 2) + Collision,6/2/2026,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Physics,Open - Running,[J1 Physics] Jurong East | 02 Jun (Tue) | 10:00AM - 01:00PM | Motion & Forces (Part 2) + Collision,J1 Physics - Jurong East - 02 Jun Tue 10:00AM,[J1 Physics] Jurong East | 02 Jun (Tue) | 10:00AM - 01:00PM | Motion & Forces (Part 2) + Collision,0,,0,0,0 / 27,,0 |  | 27,0.00%,J1,JC,PHYS,PHYS,PHYS,Jurong East,Enzhao,FALSE
JC JunCC<>J1 2026<>JC - Econs<>Eunice<>Thursday<>Jurong East<>JE-2<>27<>4 Jun<>1:00 pm<>Market Failure and Government Intervention,JC JunCC,J1 2026,JC - Econs,Eunice,Thursday,Jurong East,JE-2,27,04 Jun (Thu),1:00:00 PM,J1 Economics,Market Failure and Government Intervention,6/4/2026,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Economics,Open - Running,[J1 Economics] Jurong East | 04 Jun (Thu) | 01:30PM - 04:30PM | Market Failure and Government Intervention,J1 Economics - Jurong East - 04 Jun Thu 1:00PM,[J1 Economics] Jurong East | 04 Jun (Thu) | 01:30PM - 04:30PM | Market Failure and Government Intervention,0,,0,0,0 / 27,,0 |  | 27,0.00%,J1,JC,ECON,ECON,ECON,Jurong East,Eunice,FALSE
JC JunCC<>J1 2026<>JC - GP<>Mel B<>Tuesday<>Jurong East<>JE-3<>30<>2 Jun<>1:00 pm<>Application Question (Singapore Traits and Qualities),JC JunCC,J1 2026,JC - GP,Mel B,Tuesday,Jurong East,JE-3,30,02 Jun (Tue),1:00:00 PM,J1 GP,Application Question (Singapore Traits and Qualities),6/2/2026,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),GP,Open - Running,[J1 GP] Jurong East | 02 Jun (Tue) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),J1 GP - Jurong East - 02 Jun Tue 1:00PM,[J1 GP] Jurong East | 02 Jun (Tue) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,GP,GP,GP,Jurong East,Mel B,FALSE
JC JunCC<>J1 2026<>JC - Math<>Ethan<>Sunday<>Jurong East<>JE-5<>16<>7 Jun<>3:00 pm<>Vectors 1,JC JunCC,J1 2026,JC - Math,Ethan,Sunday,Jurong East,JE-5,16,07 Jun (Sun),3:00:00 PM,J1 Math,Vectors 1,6/7/2026,03:00PM - 06:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Math,Open - Running,[J1 Math] Jurong East | 07 Jun (Sun) | 03:00PM - 06:00PM | Vectors 1,J1 Math - Jurong East - 07 Jun Sun 3:00PM,[J1 Math] Jurong East | 07 Jun (Sun) | 03:00PM - 06:00PM | Vectors 1,0,,0,0,0 / 16,,0 |  | 16,0.00%,J1,JC,MATH,MATH,MATH,Jurong East,Ethan,FALSE
JC JunCC<>J1 2026<>JC - Math<>Clarence<>Wednesday<>Jurong East<>JE-6<>42<>3 Jun<>10:00 am<>Functions,JC JunCC,J1 2026,JC - Math,Clarence,Wednesday,Jurong East,JE-6,42,03 Jun (Wed),10:00:00 AM,J1 Math,Functions,6/3/2026,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Math,Open - Running,[J1 Math] Jurong East | 03 Jun (Wed) | 10:00AM - 01:00PM | Functions,J1 Math - Jurong East - 03 Jun Wed 10:00AM,[J1 Math] Jurong East | 03 Jun (Wed) | 10:00AM - 01:00PM | Functions,0,,0,0,0 / 42,,0 |  | 42,0.00%,J1,JC,MATH,MATH,MATH,Jurong East,Clarence,FALSE
JC JunCC<>J1 2026<>JC - Math<>Clarence<>Thursday<>Jurong East<>JE-6<>42<>4 Jun<>1:00 pm<>Summation and Recurrence Relations,JC JunCC,J1 2026,JC - Math,Clarence,Thursday,Jurong East,JE-6,42,04 Jun (Thu),1:00:00 PM,J1 Math,Summation and Recurrence Relations,6/4/2026,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Math,Open - Running,[J1 Math] Jurong East | 04 Jun (Thu) | 01:30PM - 04:30PM | Summation and Recurrence Relations,J1 Math - Jurong East - 04 Jun Thu 1:00PM,[J1 Math] Jurong East | 04 Jun (Thu) | 01:30PM - 04:30PM | Summation and Recurrence Relations,0,,0,0,0 / 42,,0 |  | 42,0.00%,J1,JC,MATH,MATH,MATH,Jurong East,Clarence,FALSE
JC JunCC<>J1 2026<>JC - Math<>Ethan<>Saturday<>Jurong East<>JE-6<>42<>6 Jun<>2:00 pm<>Vectors 1,JC JunCC,J1 2026,JC - Math,Ethan,Saturday,Jurong East,JE-6,42,06 Jun (Sat),2:00:00 PM,J1 Math,Vectors 1,6/6/2026,02:00PM - 05:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546  (Video Guide: https://tinyurl.com/4cnf5kwu),Math,Open - Running,[J1 Math] Jurong East | 06 Jun (Sat) | 02:00PM - 05:00PM | Vectors 1,J1 Math - Jurong East - 06 Jun Sat 2:00PM,[J1 Math] Jurong East | 06 Jun (Sat) | 02:00PM - 05:00PM | Vectors 1,0,,0,0,0 / 42,,0 |  | 42,0.00%,J1,JC,MATH,MATH,MATH,Jurong East,Ethan,FALSE
JC JunCC<>J1 2026<>JC - Math<>Hui Xuan<>Monday<>Kovan<>KO-1<>23<>1 Jun<>1:00 pm<>Functions,JC JunCC,J1 2026,JC - Math,Hui Xuan,Monday,Kovan,KO-1,23,01 Jun (Mon),1:00:00 PM,J1 Math,Functions,6/1/2026,01:30PM - 04:30PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Math,Open - Running,[J1 Math] Kovan | 01 Jun (Mon) | 01:30PM - 04:30PM | Functions,J1 Math - Kovan - 01 Jun Mon 1:00PM,[J1 Math] Kovan | 01 Jun (Mon) | 01:30PM - 04:30PM | Functions,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,MATH,MATH,MATH,Kovan,Hui Xuan,FALSE
JC JunCC<>J1 2026<>JC - Math<>Alicia<>Tuesday<>Kovan<>KO-1<>23<>2 Jun<>10:00 am<>Vectors 1,JC JunCC,J1 2026,JC - Math,Alicia,Tuesday,Kovan,KO-1,23,02 Jun (Tue),10:00:00 AM,J1 Math,Vectors 1,6/2/2026,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Math,Open - Running,[J1 Math] Kovan | 02 Jun (Tue) | 10:00AM - 01:00PM | Vectors 1,J1 Math - Kovan - 02 Jun Tue 10:00AM,[J1 Math] Kovan | 02 Jun (Tue) | 10:00AM - 01:00PM | Vectors 1,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,MATH,MATH,MATH,Kovan,Alicia,FALSE
JC JunCC<>J1 2026<>JC - Chem<>Kelly<>Wednesday<>Kovan<>KO-1<>23<>3 Jun<>10:00 am<>Chem Bonding,JC JunCC,J1 2026,JC - Chem,Kelly,Wednesday,Kovan,KO-1,23,03 Jun (Wed),10:00:00 AM,J1 Chemistry,Chem Bonding,6/3/2026,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Chemistry,Open - Running,[J1 Chemistry] Kovan | 03 Jun (Wed) | 10:00AM - 01:00PM | Chem Bonding,J1 Chemistry - Kovan - 03 Jun Wed 10:00AM,[J1 Chemistry] Kovan | 03 Jun (Wed) | 10:00AM - 01:00PM | Chem Bonding,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,CHEM,CHEM,CHEM,Kovan,Kelly,FALSE
JC JunCC<>J1 2026<>JC - Chem<>Kelly<>Thursday<>Kovan<>KO-1<>23<>4 Jun<>10:00 am<>Chem Bonding,JC JunCC,J1 2026,JC - Chem,Kelly,Thursday,Kovan,KO-1,23,04 Jun (Thu),10:00:00 AM,J1 Chemistry,Chem Bonding,6/4/2026,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Chemistry,Open - Running,[J1 Chemistry] Kovan | 04 Jun (Thu) | 10:00AM - 01:00PM | Chem Bonding,J1 Chemistry - Kovan - 04 Jun Thu 10:00AM,[J1 Chemistry] Kovan | 04 Jun (Thu) | 10:00AM - 01:00PM | Chem Bonding,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,CHEM,CHEM,CHEM,Kovan,Kelly,FALSE
JC JunCC<>J1 2026<>JC - Phy<>Aznikah<>Friday<>Kovan<>KO-1<>23<>5 Jun<>1:00 pm<>Circular Motion,JC JunCC,J1 2026,JC - Phy,Aznikah,Friday,Kovan,KO-1,23,05 Jun (Fri),1:00:00 PM,J1 Physics,Circular Motion,6/5/2026,01:30PM - 04:30PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Physics,Open - Running,[J1 Physics] Kovan | 05 Jun (Fri) | 01:30PM - 04:30PM | Circular Motion,J1 Physics - Kovan - 05 Jun Fri 1:00PM,[J1 Physics] Kovan | 05 Jun (Fri) | 01:30PM - 04:30PM | Circular Motion,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,PHYS,PHYS,PHYS,Kovan,Aznikah,FALSE
JC JunCC<>J1 2026<>JC - GP<>Hui Ying<>Tuesday<>Kovan<>KO-3<>23<>2 Jun<>1:00 pm<>Application Question (Singapore Traits and Qualities),JC JunCC,J1 2026,JC - GP,Hui Ying,Tuesday,Kovan,KO-3,23,02 Jun (Tue),1:00:00 PM,J1 GP,Application Question (Singapore Traits and Qualities),6/2/2026,01:30PM - 04:30PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),GP,Open - Running,[J1 GP] Kovan | 02 Jun (Tue) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),J1 GP - Kovan - 02 Jun Tue 1:00PM,[J1 GP] Kovan | 02 Jun (Tue) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,GP,GP,GP,Kovan,Hui Ying,FALSE
JC JunCC<>J1 2026<>JC - Math<>Hui Xuan<>Thursday<>Kovan<>KO-3<>23<>4 Jun<>1:00 pm<>Vectors 1,JC JunCC,J1 2026,JC - Math,Hui Xuan,Thursday,Kovan,KO-3,23,04 Jun (Thu),1:00:00 PM,J1 Math,Vectors 1,6/4/2026,01:30PM - 04:30PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Math,Open - Running,[J1 Math] Kovan | 04 Jun (Thu) | 01:30PM - 04:30PM | Vectors 1,J1 Math - Kovan - 04 Jun Thu 1:00PM,[J1 Math] Kovan | 04 Jun (Thu) | 01:30PM - 04:30PM | Vectors 1,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,MATH,MATH,MATH,Kovan,Hui Xuan,FALSE
JC JunCC<>J1 2026<>JC - Math<>Alicia<>Friday<>Kovan<>KO-3<>23<>5 Jun<>1:00 pm<>Functions,JC JunCC,J1 2026,JC - Math,Alicia,Friday,Kovan,KO-3,23,05 Jun (Fri),1:00:00 PM,J1 Math,Functions,6/5/2026,01:30PM - 04:30PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733  (Video Guide: https://tinyurl.com/SOKGuide),Math,Open - Running,[J1 Math] Kovan | 05 Jun (Fri) | 01:30PM - 04:30PM | Functions,J1 Math - Kovan - 05 Jun Fri 1:00PM,[J1 Math] Kovan | 05 Jun (Fri) | 01:30PM - 04:30PM | Functions,0,,0,0,0 / 23,,0 |  | 23,0.00%,J1,JC,MATH,MATH,MATH,Kovan,Alicia,FALSE
JC JunCC<>J1 2026<>JC - Math<>Clarence<>Saturday<>King Albert Park<>KAP-2<>15<>6 Jun<>10:00 am<>Summation and Recurrence Relations,JC JunCC,J1 2026,JC - Math,Clarence,Saturday,King Albert Park,KAP-2,15,06 Jun (Sat),10:00:00 AM,J1 Math,Summation and Recurrence Relations,6/6/2026,10:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),Math,Open - Running,[J1 Math] King Albert Park | 06 Jun (Sat) | 10:00AM - 01:00PM | Summation and Recurrence Relations,J1 Math - King Albert Park - 06 Jun Sat 10:00AM,[J1 Math] King Albert Park | 06 Jun (Sat) | 10:00AM - 01:00PM | Summation and Recurrence Relations,0,,0,0,0 / 15,,0 |  | 15,0.00%,J1,JC,MATH,MATH,MATH,King Albert Park,Clarence,FALSE
JC JunCC<>J1 2026<>JC - Math<>Clarence<>Monday<>King Albert Park<>KAP-3<>15<>1 Jun<>10:00 am<>Vectors 1,JC JunCC,J1 2026,JC - Math,Clarence,Monday,King Albert Park,KAP-3,15,01 Jun (Mon),10:00:00 AM,J1 Math,Vectors 1,6/1/2026,10:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),Math,Open - Running,[J1 Math] King Albert Park | 01 Jun (Mon) | 10:00AM - 01:00PM | Vectors 1,J1 Math - King Albert Park - 01 Jun Mon 10:00AM,[J1 Math] King Albert Park | 01 Jun (Mon) | 10:00AM - 01:00PM | Vectors 1,0,,0,0,0 / 15,,0 |  | 15,0.00%,J1,JC,MATH,MATH,MATH,King Albert Park,Clarence,FALSE
JC JunCC<>J1 2026<>JC - GP<>Mel B<>Monday<>King Albert Park<>KAP-5<>24<>1 Jun<>10:00 am<>Application Question (Singapore Traits and Qualities),JC JunCC,J1 2026,JC - GP,Mel B,Monday,King Albert Park,KAP-5,24,01 Jun (Mon),10:00:00 AM,J1 GP,Application Question (Singapore Traits and Qualities),6/1/2026,10:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),GP,Open - Running,[J1 GP] King Albert Park | 01 Jun (Mon) | 10:00AM - 01:00PM | Application Question (Singapore Traits and Qualities),J1 GP - King Albert Park - 01 Jun Mon 10:00AM,[J1 GP] King Albert Park | 01 Jun (Mon) | 10:00AM - 01:00PM | Application Question (Singapore Traits and Qualities),0,,0,0,0 / 24,,0 |  | 24,0.00%,J1,JC,GP,GP,GP,King Albert Park,Mel B,FALSE
"JC JunCC<>J1 2026<>JC - Econs<>Lennard<>Tuesday<>King Albert Park<>KAP-5<>24<>2 Jun<>10:00 am<>Market Model: Demand, Supply and Elasticities",JC JunCC,J1 2026,JC - Econs,Lennard,Tuesday,King Albert Park,KAP-5,24,02 Jun (Tue),10:00:00 AM,J1 Economics,"Market Model: Demand, Supply and Elasticities",6/2/2026,10:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),Economics,Open - Running,"[J1 Economics] King Albert Park | 02 Jun (Tue) | 10:00AM - 01:00PM | Market Model: Demand, Supply and Elasticities",J1 Economics - King Albert Park - 02 Jun Tue 10:00AM,"[J1 Economics] King Albert Park | 02 Jun (Tue) | 10:00AM - 01:00PM | Market Model: Demand, Supply and Elasticities",0,,0,0,0 / 24,,0 |  | 24,0.00%,J1,JC,ECON,ECON,ECON,King Albert Park,Lennard,FALSE
JC JunCC<>J1 2026<>JC - Chem<>YH<>Wednesday<>King Albert Park<>KAP-5<>24<>3 Jun<>1:00 pm<>Chem Bonding,JC JunCC,J1 2026,JC - Chem,YH,Wednesday,King Albert Park,KAP-5,24,03 Jun (Wed),1:00:00 PM,J1 Chemistry,Chem Bonding,6/3/2026,01:30PM - 04:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),Chemistry,Open - Running,[J1 Chemistry] King Albert Park | 03 Jun (Wed) | 01:30PM - 04:30PM | Chem Bonding,J1 Chemistry - King Albert Park - 03 Jun Wed 1:00PM,[J1 Chemistry] King Albert Park | 03 Jun (Wed) | 01:30PM - 04:30PM | Chem Bonding,0,,0,0,0 / 24,,0 |  | 24,0.00%,J1,JC,CHEM,CHEM,CHEM,King Albert Park,YH,FALSE
JC JunCC<>J1 2026<>JC - Econs<>Lennard<>Thursday<>King Albert Park<>KAP-5<>24<>4 Jun<>10:00 am<>Market Failure and Government Intervention,JC JunCC,J1 2026,JC - Econs,Lennard,Thursday,King Albert Park,KAP-5,24,04 Jun (Thu),10:00:00 AM,J1 Economics,Market Failure and Government Intervention,6/4/2026,10:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),Economics,Open - Running,[J1 Economics] King Albert Park | 04 Jun (Thu) | 10:00AM - 01:00PM | Market Failure and Government Intervention,J1 Economics - King Albert Park - 04 Jun Thu 10:00AM,[J1 Economics] King Albert Park | 04 Jun (Thu) | 10:00AM - 01:00PM | Market Failure and Government Intervention,0,,0,0,0 / 24,,0 |  | 24,0.00%,J1,JC,ECON,ECON,ECON,King Albert Park,Lennard,FALSE
JC JunCC<>J1 2026<>JC - GP<>Mel B<>Friday<>King Albert Park<>KAP-5<>24<>5 Jun<>1:00 pm<>Application Question (Singapore Traits and Qualities),JC JunCC,J1 2026,JC - GP,Mel B,Friday,King Albert Park,KAP-5,24,05 Jun (Fri),1:00:00 PM,J1 GP,Application Question (Singapore Traits and Qualities),6/5/2026,01:30PM - 04:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),GP,Open - Running,[J1 GP] King Albert Park | 05 Jun (Fri) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),J1 GP - King Albert Park - 05 Jun Fri 1:00PM,[J1 GP] King Albert Park | 05 Jun (Fri) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),0,,0,0,0 / 24,,0 |  | 24,0.00%,J1,JC,GP,GP,GP,King Albert Park,Mel B,FALSE
