Schedule Codes,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+3hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor,Checked?
JC JunCC<>J1 2026<>JC - GP<>Zach<>Friday<>Buona Vista<>BV-LT<>70<>5 Jun<>1:00 pm<>Application Question (Singapore Traits and Qualities),JC JunCC,J1 2026,JC - GP,Zach,Friday,Buona Vista,BV-LT,70,05 Jun (Fri),1:00:00 PM,J1 GP,Application Question (Singapore Traits and Qualities),6/5/2026,01:30PM - 04:30PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,35 Rochester Dr #02-23 (Rochester Mall) S138639  (Video Guide: bit.ly/zenithBV),GP,Open - Running,[J1 GP] Buona Vista | 05 Jun (Fri) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),J1 GP - Buona Vista - 05 Jun Fri 1:00PM,[J1 GP] Buona Vista | 05 Jun (Fri) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),0,,0,0,0 / 70,,0 |  | 70,0.00%,J1,JC,GP,GP,GP,Buona Vista,Zach,FALSE
JC JunCC<>J1 2026<>JC - Econs<>Kane<>Tuesday<>Tan Kah Kee<>TKK-0<>30<>2 Jun<>10:00 am<>Market Failure and Government Intervention,JC JunCC,J1 2026,JC - Econs,Kane,Tuesday,Tan Kah Kee,TKK-0,30,02 Jun (Tue),10:00:00 AM,J1 Economics,Market Failure and Government Intervention,6/2/2026,10:00AM - 01:00PM,bit.ly/zenithTKK,"611A Bukit Timah Rd, S269713","611A Bukit Timah Rd, S269713  (Video Guide: bit.ly/zenithTKK)",Economics,Open - Running,[J1 Economics] Tan Kah Kee | 02 Jun (Tue) | 10:00AM - 01:00PM | Market Failure and Government Intervention,J1 Economics - Tan Kah Kee - 02 Jun Tue 10:00AM,[J1 Economics] Tan Kah Kee | 02 Jun (Tue) | 10:00AM - 01:00PM | Market Failure and Government Intervention,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,ECON,ECON,ECON,Coro + TKK,Kane,FALSE
JC JunCC<>J1 2026<>JC - Chem<>Xavier<>Monday<>Tan Kah Kee<>TKK-2<>30<>1 Jun<>10:00 am<>Chem Bonding,JC JunCC,J1 2026,JC - Chem,Xavier,Monday,Tan Kah Kee,TKK-2,30,01 Jun (Mon),10:00:00 AM,J1 Chemistry,Chem Bonding,6/1/2026,10:00AM - 01:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,607 Bukit Timah Road #02-01 S269708  (Video Guide: bit.ly/TKK607),Chemistry,Open - Running,[J1 Chemistry] Tan Kah Kee | 01 Jun (Mon) | 10:00AM - 01:00PM | Chem Bonding,J1 Chemistry - Tan Kah Kee - 01 Jun Mon 10:00AM,[J1 Chemistry] Tan Kah Kee | 01 Jun (Mon) | 10:00AM - 01:00PM | Chem Bonding,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,CHEM,CHEM,CHEM,Coro + TKK,Xavier,FALSE
JC JunCC<>J1 2026<>JC - Chem<>Xavier<>Thursday<>Tan Kah Kee<>TKK-2<>30<>4 Jun<>10:00 am<>Energetics,JC JunCC,J1 2026,JC - Chem,Xavier,Thursday,Tan Kah Kee,TKK-2,30,04 Jun (Thu),10:00:00 AM,J1 Chemistry,Energetics,6/4/2026,10:00AM - 01:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,607 Bukit Timah Road #02-01 S269708  (Video Guide: bit.ly/TKK607),Chemistry,Open - Running,[J1 Chemistry] Tan Kah Kee | 04 Jun (Thu) | 10:00AM - 01:00PM | Energetics,J1 Chemistry - Tan Kah Kee - 04 Jun Thu 10:00AM,[J1 Chemistry] Tan Kah Kee | 04 Jun (Thu) | 10:00AM - 01:00PM | Energetics,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,CHEM,CHEM,CHEM,Coro + TKK,Xavier,FALSE
JC JunCC<>J1 2026<>JC - Phy<>Enzhao<>Thursday<>Tan Kah Kee<>TKK-2<>30<>4 Jun<>1:00 pm<>Motion & Forces (Part 2) + Collision,JC JunCC,J1 2026,JC - Phy,Enzhao,Thursday,Tan Kah Kee,TKK-2,30,04 Jun (Thu),1:00:00 PM,J1 Physics,Motion & Forces (Part 2) + Collision,6/4/2026,01:30PM - 04:30PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,607 Bukit Timah Road #02-01 S269708  (Video Guide: bit.ly/TKK607),Physics,Open - Running,[J1 Physics] Tan Kah Kee | 04 Jun (Thu) | 01:30PM - 04:30PM | Motion & Forces (Part 2) + Collision,J1 Physics - Tan Kah Kee - 04 Jun Thu 1:00PM,[J1 Physics] Tan Kah Kee | 04 Jun (Thu) | 01:30PM - 04:30PM | Motion & Forces (Part 2) + Collision,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,PHYS,PHYS,PHYS,Coro + TKK,Enzhao,FALSE
JC JunCC<>J1 2026<>JC - GP<>Antonia<>Thursday<>Tan Kah Kee<>TKK-3<>19<>4 Jun<>1:00 pm<>Application Question (Singapore Traits and Qualities),JC JunCC,J1 2026,JC - GP,Antonia,Thursday,Tan Kah Kee,TKK-3,19,04 Jun (Thu),1:00:00 PM,J1 GP,Application Question (Singapore Traits and Qualities),6/4/2026,01:30PM - 04:30PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,607 Bukit Timah Road #02-01 S269708  (Video Guide: bit.ly/TKK607),GP,Open - Running,[J1 GP] Tan Kah Kee | 04 Jun (Thu) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),J1 GP - Tan Kah Kee - 04 Jun Thu 1:00PM,[J1 GP] Tan Kah Kee | 04 Jun (Thu) | 01:30PM - 04:30PM | Application Question (Singapore Traits and Qualities),0,,0,0,0 / 19,,0 |  | 19,0.00%,J1,JC,GP,GP,GP,Coro + TKK,Antonia,FALSE
JC JunCC<>J1 2026<>JC - Econs<>FY<>Monday<>Tan Kah Kee<>CORO-1<>30<>1 Jun<>10:00 am<>Market Failure and Government Intervention,JC JunCC,J1 2026,JC - Econs,FY,Monday,Tan Kah Kee,CORO-1,30,01 Jun (Mon),10:00:00 AM,J1 Economics,Market Failure and Government Intervention,6/1/2026,10:00AM - 01:00PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707","587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707  (Video Guide: bit.ly/zenithCORO)",Economics,Open - Running,[J1 Economics] Tan Kah Kee | 01 Jun (Mon) | 10:00AM - 01:00PM | Market Failure and Government Intervention,J1 Economics - Tan Kah Kee - 01 Jun Mon 10:00AM,[J1 Economics] Tan Kah Kee | 01 Jun (Mon) | 10:00AM - 01:00PM | Market Failure and Government Intervention,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,ECON,ECON,ECON,Coro + TKK,FY,FALSE
JC JunCC<>J1 2026<>JC - Econs<>FY<>Wednesday<>Tan Kah Kee<>CORO-1<>30<>3 Jun<>10:00 am<>Market Failure and Government Intervention,JC JunCC,J1 2026,JC - Econs,FY,Wednesday,Tan Kah Kee,CORO-1,30,03 Jun (Wed),10:00:00 AM,J1 Economics,Market Failure and Government Intervention,6/3/2026,10:00AM - 01:00PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707","587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707  (Video Guide: bit.ly/zenithCORO)",Economics,Open - Running,[J1 Economics] Tan Kah Kee | 03 Jun (Wed) | 10:00AM - 01:00PM | Market Failure and Government Intervention,J1 Economics - Tan Kah Kee - 03 Jun Wed 10:00AM,[J1 Economics] Tan Kah Kee | 03 Jun (Wed) | 10:00AM - 01:00PM | Market Failure and Government Intervention,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,ECON,ECON,ECON,Coro + TKK,FY,FALSE
JC JunCC<>J1 2026<>JC - Bio<>Melvin<>Wednesday<>Tan Kah Kee<>CORO-1<>30<>3 Jun<>1:00 pm<>DNA Replication,JC JunCC,J1 2026,JC - Bio,Melvin,Wednesday,Tan Kah Kee,CORO-1,30,03 Jun (Wed),1:00:00 PM,J1 Biology,DNA Replication,6/3/2026,01:30PM - 04:30PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707","587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707  (Video Guide: bit.ly/zenithCORO)",Biology,Open - Running,[J1 Biology] Tan Kah Kee | 03 Jun (Wed) | 01:30PM - 04:30PM | DNA Replication,J1 Biology - Tan Kah Kee - 03 Jun Wed 1:00PM,[J1 Biology] Tan Kah Kee | 03 Jun (Wed) | 01:30PM - 04:30PM | DNA Replication,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,BIO,BIO,BIO,Coro + TKK,Melvin,FALSE
JC JunCC<>J1 2026<>JC - Math<>Mandy<>Thursday<>Tan Kah Kee<>CORO-1<>30<>4 Jun<>1:00 pm<>Functions,JC JunCC,J1 2026,JC - Math,Mandy,Thursday,Tan Kah Kee,CORO-1,30,04 Jun (Thu),1:00:00 PM,J1 Math,Functions,6/4/2026,01:30PM - 04:30PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707","587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707  (Video Guide: bit.ly/zenithCORO)",Math,Open - Running,[J1 Math] Tan Kah Kee | 04 Jun (Thu) | 01:30PM - 04:30PM | Functions,J1 Math - Tan Kah Kee - 04 Jun Thu 1:00PM,[J1 Math] Tan Kah Kee | 04 Jun (Thu) | 01:30PM - 04:30PM | Functions,0,,0,0,0 / 30,,0 |  | 30,0.00%,J1,JC,MATH,MATH,MATH,Coro + TKK,Mandy,FALSE
