Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor
Pri Mock Exam<>P6 2026<>Pri - Eng<>Ju<>Friday<>King Albert Park<>KAP-5<>24<>12 Jun<>9:00 am<>,Pri Mock Exam,P6 2026,Pri - Eng,Ju,Friday,King Albert Park,KAP-5,24,12 Jun (Fri),9:00:00 AM,P6 English,,6/12/2026,08:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 English,#N/A,#N/A,P6 English - King Albert Park - 12 Jun Fri 9:00AM,[P6 English] King Albert Park | 12 Jun (Fri) | 08:00AM - 01:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P6,Pri,PEng,PEng,PEng,King Albert Park,Ju
Pri Mock Exam<>P6 2026<>Pri - Science<>Vivien<>Monday<>King Albert Park<>KAP-6<>20<>8 Jun<>9:00 am<>,Pri Mock Exam,P6 2026,Pri - Science,Vivien,Monday,King Albert Park,KAP-6,20,08 Jun (Mon),9:00:00 AM,P6 Science,,6/8/2026,08:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,#N/A,#N/A,P6 Science - King Albert Park - 08 Jun Mon 9:00AM,[P6 Science] King Albert Park | 08 Jun (Mon) | 08:00AM - 01:00PM,1,,#N/A,#N/A,#N/A,,#N/A,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Vivien
Pri Mock Exam<>P6 2026<>Pri - Math<>Elva<>Wednesday<>King Albert Park<>KAP-6<>20<>10 Jun<>9:00 am<>,Pri Mock Exam,P6 2026,Pri - Math,Elva,Wednesday,King Albert Park,KAP-6,20,10 Jun (Wed),9:00:00 AM,P6 Math,,6/10/2026,08:00AM - 02:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Math,#N/A,#N/A,P6 Math - King Albert Park - 10 Jun Wed 9:00AM,[P6 Math] King Albert Park | 10 Jun (Wed) | 08:00AM - 02:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P6,Pri,PMath,PMath,PMath,King Albert Park,Elva
Pri Mock Exam<>P5 2026<>Pri - Eng<>Jolene<>Tuesday<>Bishan<>BS-2<>31<>23 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Eng,Jolene,Tuesday,Bishan,BS-2,31,23 Jun (Tue),9:00:00 AM,P5 English,,6/23/2026,08:00AM - 01:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 English,#N/A,#N/A,P5 English - Bishan - 23 Jun Tue 9:00AM,[P5 English] Bishan | 23 Jun (Tue) | 08:00AM - 01:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PEng,PEng,PEng,Bishan CC,Jolene
Pri Mock Exam<>P5 2026<>Pri - Math<>Abi<>Wednesday<>Bishan<>BS-2<>31<>24 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Math,Abi,Wednesday,Bishan,BS-2,31,24 Jun (Wed),9:00:00 AM,P5 Math,,6/24/2026,08:00AM - 02:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,#N/A,#N/A,P5 Math - Bishan - 24 Jun Wed 9:00AM,[P5 Math] Bishan | 24 Jun (Wed) | 08:00AM - 02:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Abi
Pri Mock Exam<>P5 2026<>Pri - Science<>Katherine<>Thursday<>Bishan<>BS-2<>31<>25 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Science,Katherine,Thursday,Bishan,BS-2,31,25 Jun (Thu),9:00:00 AM,P5 Science,,6/25/2026,08:00AM - 01:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Science,#N/A,#N/A,P5 Science - Bishan - 25 Jun Thu 9:00AM,[P5 Science] Bishan | 25 Jun (Thu) | 08:00AM - 01:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PSci,PSci,PSci,Bishan CC,Katherine
Pri Mock Exam<>P5 2026<>Pri - Science<>Chen Hong<>Tuesday<>King Albert Park<>KAP-3<>15<>23 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Science,Chen Hong,Tuesday,King Albert Park,KAP-3,15,23 Jun (Tue),9:00:00 AM,P5 Science,,6/23/2026,08:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,#N/A,#N/A,P5 Science - King Albert Park - 23 Jun Tue 9:00AM,[P5 Science] King Albert Park | 23 Jun (Tue) | 08:00AM - 01:00PM,1,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong
Pri Mock Exam<>P5 2026<>Pri - Science<>Vivien<>Tuesday<>King Albert Park<>KAP-5<>24<>23 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Science,Vivien,Tuesday,King Albert Park,KAP-5,24,23 Jun (Tue),9:00:00 AM,P5 Science,,6/23/2026,08:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,#N/A,#N/A,P5 Science - King Albert Park - 23 Jun Tue 9:00AM,[P5 Science] King Albert Park | 23 Jun (Tue) | 08:00AM - 01:00PM,1,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Vivien
Pri Mock Exam<>P5 2026<>Pri - Eng<>Ju<>Thursday<>King Albert Park<>KAP-5<>24<>25 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Eng,Ju,Thursday,King Albert Park,KAP-5,24,25 Jun (Thu),9:00:00 AM,P5 English,,6/25/2026,08:00AM - 01:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 English,#N/A,#N/A,P5 English - King Albert Park - 25 Jun Thu 9:00AM,[P5 English] King Albert Park | 25 Jun (Thu) | 08:00AM - 01:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PEng,PEng,PEng,King Albert Park,Ju
Pri Mock Exam<>P5 2026<>Pri - Math<>Elva<>Wednesday<>King Albert Park<>KAP-6<>20<>24 Jun<>9:00 am<>,Pri Mock Exam,P5 2026,Pri - Math,Elva,Wednesday,King Albert Park,KAP-6,20,24 Jun (Wed),9:00:00 AM,P5 Math,,6/24/2026,08:00AM - 02:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Math,#N/A,#N/A,P5 Math - King Albert Park - 24 Jun Wed 9:00AM,[P5 Math] King Albert Park | 24 Jun (Wed) | 08:00AM - 02:00PM,0,,#N/A,#N/A,#N/A,,#N/A,0.00%,P5,Pri,PMath,PMath,PMath,King Albert Park,Elva
