Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor,Checked (ops),Uncontacted Count
Pri SepCC<>P4 2026<>Pri - Math<>Jeff<>Sunday<>Bishan<>BS-6<>18<>6 Sep<>11:00 am<>,Pri SepCC,P4 2026,Pri - Math,Jeff,Sunday,Bishan,BS-6,18,06 Sep (Sun),11:00:00 AM,P4 Math,Heuristics Revision,9/6/2026,11:00AM - 12:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 Math,Closed - Running,,P4 Math - Bishan - 06 Sep Sun 11:00AM,[P4 Math] Bishan | 06 Sep (Sun) | 11:00AM - 12:30PM,0,,1,1,1 / 18,,1 |  | 18,0.00%,P4,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,0
Pri SepCC<>P5 2026<>Pri - Math<>Jeff<>Sunday<>Bishan<>BS-6<>18<>6 Sep<>2:00 pm<>,Pri SepCC,P5 2026,Pri - Math,Jeff,Sunday,Bishan,BS-6,18,06 Sep (Sun),2:00:00 PM,P5 Math,Heuristics Revision,9/6/2026,02:00PM - 04:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Closed - Running,,P5 Math - Bishan - 06 Sep Sun 02:00PM,[P5 Math] Bishan | 06 Sep (Sun) | 02:00PM - 04:00PM,0,,1,1,1 / 18,,1 |  | 18,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,0
Pri SepCC<>P5 2026<>Pri - Science<>Katherine<>Thursday<>Bishan<>BS-6<>18<>10 Sep<>12:00 pm<>,Pri SepCC,P5 2026,Pri - Science,Katherine,Thursday,Bishan,BS-6,18,10 Sep (Thu),12:00:00 PM,P5 Science,Water Cycle Revision,9/10/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Science,Closed - Running,,P5 Science - Bishan - 10 Sep Thu 12:30PM,[P5 Science] Bishan | 10 Sep (Thu) | 12:30PM - 02:30PM,0,,15,15,15 / 18,,15 |  | 18,0.00%,P5,Pri,PSci,PSci,PSci,Bishan CC,Katherine,FALSE,3
Pri SepCC<>P4 2026<>Pri - Math<>Jeff<>Sunday<>Bishan<>BS-6<>18<>13 Sep<>11:00 am<>,Pri SepCC,P4 2026,Pri - Math,Jeff,Sunday,Bishan,BS-6,18,13 Sep (Sun),11:00:00 AM,P4 Math,Heuristics Revision,9/13/2026,11:00AM - 12:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 Math,Open - Running,[P4 Math] Bishan | 13 Sep (Sun) | 11:00AM - 12:30PM,P4 Math - Bishan - 13 Sep Sun 11:00AM,[P4 Math] Bishan | 13 Sep (Sun) | 11:00AM - 12:30PM,0,,3,3,3 / 18,,3 |  | 18,0.00%,P4,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,3
Pri SepCC<>P5 2026<>Pri - Math<>Jeff<>Sunday<>Bishan<>BS-6<>18<>13 Sep<>2:00 pm<>,Pri SepCC,P5 2026,Pri - Math,Jeff,Sunday,Bishan,BS-6,18,13 Sep (Sun),2:00:00 PM,P5 Math,Heuristics Revision,9/13/2026,02:00PM - 04:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Open - Running,[P5 Math] Bishan | 13 Sep (Sun) | 02:00PM - 04:00PM,P5 Math - Bishan - 13 Sep Sun 02:00PM,[P5 Math] Bishan | 13 Sep (Sun) | 02:00PM - 04:00PM,0,,5,5,5 / 18,,5 |  | 18,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,2
Pri SepCC<>P5 2026<>Pri - Math<>Jeff<>Monday<>Bishan<>BS-7<>9<>7 Sep<>3:00 pm<>,Pri SepCC,P5 2026,Pri - Math,Jeff,Monday,Bishan,BS-7,9,07 Sep (Mon),3:00:00 PM,P5 Math,Heuristics Revision,9/7/2026,03:00PM - 05:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Closed - Running,,P5 Math - Bishan - 07 Sep Mon 03:00PM,[P5 Math] Bishan | 07 Sep (Mon) | 03:00PM - 05:00PM,0,,9,9,9 / 9,,9 |  | 9,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,0
Pri SepCC<>P4 2026<>Pri - Math<>Jeff<>Monday<>Bishan<>BS-7<>9<>7 Sep<>5:00 pm<>,Pri SepCC,P4 2026,Pri - Math,Jeff,Monday,Bishan,BS-7,9,07 Sep (Mon),5:00:00 PM,P4 Math,Heuristics Revision,9/7/2026,05:00PM - 06:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 Math,Closed - Running,,P4 Math - Bishan - 07 Sep Mon 05:00PM,[P4 Math] Bishan | 07 Sep (Mon) | 05:00PM - 06:30PM,0,,4,4,4 / 9,,4 |  | 9,0.00%,P4,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,0
Pri SepCC<>P4 2026<>Pri - Eng<>Ju<>Thursday<>Bishan<>BS-5<>15<>10 Sep<>5:00 pm<>,Pri SepCC,P4 2026,Pri - Eng,Ju,Thursday,Bishan,BS-5,15,10 Sep (Thu),5:00:00 PM,P4 English,Comprehension Open-Ended & Comprehension Close,9/10/2026,05:00PM - 06:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 English,Closed - Running,,P4 English - Bishan - 10 Sep Thu 05:00PM,[P4 English] Bishan | 10 Sep (Thu) | 05:00PM - 06:30PM,0,,9,9,9 / 15,,9 |  | 15,0.00%,P4,Pri,PEng,PEng,PEng,Bishan CC,Ju,FALSE,0
Pri SepCC<>P4 2026<>Pri - Math<>Mahadir<>Monday<>King Albert Park<>KAP-1<>15<>7 Sep<>3:00 pm<>,Pri SepCC,P4 2026,Pri - Math,Mahadir,Monday,King Albert Park,KAP-1,15,07 Sep (Mon),3:00:00 PM,P4 Math,Heuristics Revision,9/7/2026,03:00PM - 04:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P4 Math,Closed - Running,,P4 Math - King Albert Park - 07 Sep Mon 03:00PM,[P4 Math] King Albert Park | 07 Sep (Mon) | 03:00PM - 04:30PM,0,,3,3,3 / 15,,3 |  | 15,0.00%,P4,Pri,PMath,PMath,PMath,King Albert Park,Mahadir,FALSE,0
Pri SepCC<>P5 2026<>Pri - Math<>Mahadir<>Monday<>King Albert Park<>KAP-1<>15<>7 Sep<>5:00 pm<>,Pri SepCC,P5 2026,Pri - Math,Mahadir,Monday,King Albert Park,KAP-1,15,07 Sep (Mon),5:00:00 PM,P5 Math,Heuristics Revision,9/7/2026,05:00PM - 07:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Math,Closed - Running,,P5 Math - King Albert Park - 07 Sep Mon 05:00PM,[P5 Math] King Albert Park | 07 Sep (Mon) | 05:00PM - 07:00PM,0,,3,3,3 / 15,,3 |  | 15,0.00%,P5,Pri,PMath,PMath,PMath,King Albert Park,Mahadir,FALSE,0
