Schedule Codes,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+3hr),Form Controls,Form Option to Display
"JC SepCC<>J1 2026<>JC - Bio<>Josh<>Sunday<>Jurong East<>JE-6<>42<>13 Sep<>10:00 am<>Control of Eukaryotic Gene Expression","JC SepCC","J1 2026","JC - Bio","Josh","Sunday","Jurong East","JE-6","42","13 Sep (Sun)","10:00:00 AM","J1 Biology","Control of Eukaryotic Gene Expression","9/13/2026","10:00AM - 01:00PM","Open - Running","[J1 Biology] Jurong East | 13 Sep (Sun) | 10:00AM - 01:00PM | Control of Eukaryotic Gene Expression"
"JC SepCC<>J1 2026<>JC - Chem<>Kelly<>Tuesday<>Kovan<>KO-1<>23<>8 Sep<>1:00 pm<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Kelly","Tuesday","Kovan","KO-1","23","08 Sep (Tue)","1:00:00 PM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/8/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Kovan | 08 Sep (Tue) | 01:30PM - 04:30PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Phy<>Aznikah<>Thursday<>Kovan<>KO-2<>21<>10 Sep<>1:00 pm<>","JC SepCC","J1 2026","JC - Phy","Aznikah","Thursday","Kovan","KO-2","21","10 Sep (Thu)","1:00:00 PM","J1 Physics","","9/10/2026","01:30PM - 04:30PM","Open - Running","[J1 Physics] Kovan | 10 Sep (Thu) | 01:30PM - 04:30PM | "
"JC SepCC<>J1 2026<>JC - Chem<>Kelly<>Monday<>Kovan<>KO-3<>23<>7 Sep<>1:00 pm<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Kelly","Monday","Kovan","KO-3","23","07 Sep (Mon)","1:00:00 PM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/7/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Kovan | 07 Sep (Mon) | 01:30PM - 04:30PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Phy<>Aznikah<>Monday<>Kovan<>KO-4<>24<>7 Sep<>1:00 pm<>","JC SepCC","J1 2026","JC - Phy","Aznikah","Monday","Kovan","KO-4","24","07 Sep (Mon)","1:00:00 PM","J1 Physics","","9/7/2026","01:30PM - 04:30PM","Open - Running","[J1 Physics] Kovan | 07 Sep (Mon) | 01:30PM - 04:30PM | "
"JC SepCC<>J1 2026<>JC - Chem<>Kelly<>Friday<>Kovan<>KO-4<>24<>11 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","Kelly","Friday","Kovan","KO-4","24","11 Sep (Fri)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/11/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Kovan | 11 Sep (Fri) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Chem<>YH<>Wednesday<>King Albert Park<>KAP-6<>20<>9 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","YH","Wednesday","King Albert Park","KAP-6","20","09 Sep (Wed)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/9/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] King Albert Park | 09 Sep (Wed) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Phy<>Aznikah<>Tuesday<>Serangoon<>BHC-1<>41<>8 Sep<>1:00 pm<>","JC SepCC","J1 2026","JC - Phy","Aznikah","Tuesday","Serangoon","BHC-1","41","08 Sep (Tue)","1:00:00 PM","J1 Physics","","9/8/2026","01:30PM - 04:30PM","Open - Running","[J1 Physics] Serangoon | 08 Sep (Tue) | 01:30PM - 04:30PM | "
"JC SepCC<>J1 2026<>JC - Phy<>Aznikah<>Saturday<>Serangoon<>BHC-1<>41<>12 Sep<>10:00 am<>","JC SepCC","J1 2026","JC - Phy","Aznikah","Saturday","Serangoon","BHC-1","41","12 Sep (Sat)","10:00:00 AM","J1 Physics","","9/12/2026","10:00AM - 01:00PM","Open - Running","[J1 Physics] Serangoon | 12 Sep (Sat) | 10:00AM - 01:00PM | "
"JC SepCC<>J1 2026<>JC - Chem<>Xavier<>Tuesday<>Serangoon<>BHC-2<>23<>8 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","Xavier","Tuesday","Serangoon","BHC-2","23","08 Sep (Tue)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/8/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Serangoon | 08 Sep (Tue) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Chem<>DJ<>Tuesday<>Jurong Point<>JP-1<>32<>8 Sep<>10:00 am<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","DJ","Tuesday","Jurong Point","JP-1","32","08 Sep (Tue)","10:00:00 AM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/8/2026","10:00AM - 01:00PM","Open - Running","[J1 Chemistry] Jurong Point | 08 Sep (Tue) | 10:00AM - 01:00PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Chem<>DJ<>Tuesday<>Jurong Point<>JP-1<>32<>8 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","DJ","Tuesday","Jurong Point","JP-1","32","08 Sep (Tue)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/8/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Jurong Point | 08 Sep (Tue) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Phy<>Enzhao<>Wednesday<>Jurong Point<>JP-1<>32<>9 Sep<>4:00 pm<>Gravitational Field","JC SepCC","J1 2026","JC - Phy","Enzhao","Wednesday","Jurong Point","JP-1","32","09 Sep (Wed)","4:00:00 PM","J1 Physics","Gravitational Field","9/9/2026","04:00PM - 07:00PM","Open - Running","[J1 Physics] Jurong Point | 09 Sep (Wed) | 04:00PM - 07:00PM | Gravitational Field"
"JC SepCC<>J1 2026<>JC - Chem<>YH<>Thursday<>Jurong Point<>JP-1<>32<>10 Sep<>10:00 am<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","YH","Thursday","Jurong Point","JP-1","32","10 Sep (Thu)","10:00:00 AM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/10/2026","10:00AM - 01:00PM","Open - Running","[J1 Chemistry] Jurong Point | 10 Sep (Thu) | 10:00AM - 01:00PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Chem<>YH<>Thursday<>Jurong Point<>JP-1<>32<>10 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","YH","Thursday","Jurong Point","JP-1","32","10 Sep (Thu)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/10/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Jurong Point | 10 Sep (Thu) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Phy<>Enzhao<>Saturday<>Jurong Point<>JP-1<>32<>12 Sep<>12:00 pm<>Gravitational Field","JC SepCC","J1 2026","JC - Phy","Enzhao","Saturday","Jurong Point","JP-1","32","12 Sep (Sat)","12:00:00 PM","J1 Physics","Gravitational Field","9/12/2026","12:00PM - 03:00PM","Open - Running","[J1 Physics] Jurong Point | 12 Sep (Sat) | 12:00PM - 03:00PM | Gravitational Field"
"JC SepCC<>J1 2026<>JC - Econs<>Kevin Heng<>Friday<>Jurong Point<>JP-2<>32<>11 Sep<>1:00 pm<>Firms and Decisions (Mainstream)","JC SepCC","J1 2026","JC - Econs","Kevin Heng","Friday","Jurong Point","JP-2","32","11 Sep (Fri)","1:00:00 PM","J1 Economics","Firms and Decisions (Mainstream)","9/11/2026","01:30PM - 04:30PM","Open - Running","[J1 Economics] Jurong Point | 11 Sep (Fri) | 01:30PM - 04:30PM | Firms and Decisions (Mainstream)"
